c_std_hi,c_mean_hi,contribution_hi,lengths_hi,bins_hi,weights_hi,relweights_hi,c_std_lo,c_mean_lo,contribution_lo,lengths_lo,bins_lo,weights_lo,relweights_lo
,,0.0018539226649402624,19.80019897183684,310.0,1,0.00023430178069353328,,,0.001352918438345574,8.132224577718702,310.0,1,0.00023408239700374532
,,0.0019127773527161439,4.242899779679322,320.0,1,0.00023430178069353328,,,0.0,56.925572044030915,320.0,0,0.0
,,0.001971632040492025,2.475024871479605,330.0,1,0.00023430178069353328,,,0.005755272086930378,32.88247329251475,330.0,4,0.0009363295880149813
,,0.0,104.65819456542329,340.0,0,0.0,,,0.0029635356268522097,115.61901899626154,340.0,2,0.00046816479400749064
,,0.0,6.717924651158928,350.0,0,0.0,,,0.00304943521023923,11.667974394118136,350.0,2,0.00046816479400749064
,,0.0,41.014697870233455,360.0,0,0.0,,,0.0015676673968131256,31.114598384315034,360.0,1,0.00023408239700374532
,,0.0,9.90009948591842,370.0,0,0.0,,,0.0016106171885066358,35.35749816399436,370.0,1,0.00023408239700374532
,,0.002265905479371432,36.77179809055413,380.0,1,0.00023430178069353328,,,0.0,158.4015917746947,380.0,0,0.0
,,0.0023247601671473133,16.97159911871729,390.0,1,0.00023430178069353328,,,0.008482583859468281,5.657199706239097,390.0,5,0.0011704119850187266
,,0.0,16.97159911871729,400.0,0,0.0,,,0.0017394665635871666,5.657199706239097,400.0,1,0.00023408239700374532
,,0.0,57.98629698895074,410.0,0,0.0,,,0.0,19.80019897183684,410.0,0,0.0
,,0.005002648460949915,59.40059691551052,420.0,2,0.00046860356138706655,,,0.0,52.32909728271164,420.0,0,0.0
,,0.0,4.242899779679322,430.0,0,0.0,,,0.0,99.00099485918419,430.0,0,0.0
,,0.0,29.70029845775526,440.0,0,0.0,,,0.0019112657303612078,12.728699339037968,440.0,1,0.00023408239700374532
,,0.0,5.657199706244242,450.0,0,0.0,,,0.0,12.728699339037968,450.0,0,0.0
,,0.0,50.91479735619818,460.0,0,0.0,,,0.0,2.8285998531195484,460.0,0,0.0
,,0.0,14.49657424725087,470.0,0,0.0,,,0.0,12.37512435740928,470.0,0,0.0
,,0.0,11.314399412488484,480.0,0,0.0,,,0.0,59.754171897204806,480.0,0,0.0
,,0.002913307044906127,47.73262252143579,490.0,1,0.00023430178069353328,,,0.0,19.446623990214583,490.0,0,0.0
,,0.0,90.16162031826761,500.0,0,0.0,,,0.0021689644805222693,134.0049180416605,500.0,1,0.00023408239700374532
,,0.0,19.446623990214583,510.0,0,0.0,,,0.0,7.425074614445568,510.0,0,0.0
,,0.0,5.657199706244242,520.0,0,0.0,,,0.0,30.053873439422535,520.0,0,0.0
,,0.0,35.35749816402651,530.0,0,0.0,,,0.0,48.43977248471632,530.0,0,0.0
,,0.0,71.77572127297383,540.0,0,0.0,,,0.0,62.58277175032693,540.0,0,0.0
,,0.0,21.00377401190235,550.0,0,0.0,,,0.0,12.728699339049545,550.0,0,0.0
,,0.0,18.003234867344872,560.0,0,0.0,,,,18.73947402693405,560.0,,
,,0.0,5.0008985742624645,570.0,0,0.0,,,,4.2428997796831815,,,
,,0.0,16.002875437639887,580.0,0,0.0,,,,22.62879882497697,,,
,,0.0,19.003414582197365,590.0,0,0.0,,,,30.005391445574787,,,
,,,30.005391445574787,600.0,,,,,,179.03216895859623,,,
,,,20.003594297049858,,,,,,,38.00682916439473,,,
,,,2.000359429704986,,,,,,,75.01347861393697,,,
,,,15.002695722787394,,,,,,,13.002336293082408,,,
,,,2.000359429704986,,,,,,,24.00431315645983,,,
,,,18.003234867344872,,,,,,,4.000718859409972,,,
,,,107.01922948921674,,,,,,,7.00125800396745,,,
,,,31.00557116042728,,,,,,,34.00611030498476,,,
,,,5.0008985742624645,,,,,,,13.002336293082408,,,
,,,90.01617433672436,,,,,,,15.002695722787394,,,
,,,37.00664944954224,,,,,,,61.01096260600207,,,
,,,3.0005391445574787,,,,,,,16.753010223779256,,,
,,,6.001078289114957,,,,,,,90.01617433672436,,,
,,,77.01383804364195,,,,,,,58.01042346144459,,,
,,,24.00431315645983,,,,,,,183.0328878180062,,,
,,,35.00629001983725,,,,,,,8.001437718819943,,,
,,,9.001617433672436,,,,,,,16.002875437639887,,,
,,,10.001797148524929,,,,,,,27.00485230101731,,,
,,,3.0005391445574787,,,,,,,59.01060317629708,,,
,,,4.000718859409972,,,,,,,173.03109066948127,,,
,,,23.004133441607337,,,,,,,6.001078289114957,,,
,,,44.550447686632886,,,,,,,39.00700887924722,,,
,,,70.71499632798871,,,,,,,17.00305515249238,,,
,,,45.257597649912775,,,,,,,35.00629001983725,,,
,,,52.32909728271164,,,,,,,8.001437718819943,,,
,,,111.72969419822216,,,,,,,94.01689319613433,,,
,,,7.7786495960787585,,,,,,,22.003953726754844,,,
,,,3.5357498163994356,,,,,,,115.97259397790148,,,
,,,21.00377401190235,,,,,,,106.77964445526295,,,
,,,9.001617433672436,,,,,,,48.086197503032324,,,
,,,41.00736830895221,,,,,,,74.25074614438815,,,
,,,8.001437718819943,,,,,,,132.9441930966188,,,
,,,35.00629001983725,,,,,,,7.7786495960787585,,,
,,,54.00970460203462,,,,,,,2.121449889839661,,,
,,,16.002875437639887,,,,,,,21.214498898396613,,,
,,,6.001078289114957,,,,,,,10.001797148524929,,,
,,,69.01240032482201,,,,,,,16.002875437639887,,,
,,,2.000359429704986,,,,,,,13.002336293082408,,,
,,,8.001437718819943,,,,,,,68.01222060996952,,,
,,,10.751931934664299,,,,,,,140.025160079349,,,
,,,62.01114232085456,,,,,,,12.002156578229915,,,
,,,34.00611030498476,,,,,,,21.00377401190235,,,
,,,213.038279263581,,,,,,,4.000718859409972,,,
,,,8.001437718819943,,,,,,,4.000718859409972,,,
,,,32.00575087527977,,,,,,,35.00629001983725,,,
,,,196.0352241110886,,,,,,,56.0100640317396,,,
