R,pdf,cdf,satn,bin_centers,bin_edges,bin_widths,average-pore-size
226.7525084,0,0.047580659,0,226.7525084,225.7491639,2.006688963,
228.7591973,0.005649452,0.047580659,0.011336693,228.7591973,227.7558528,2.006688963,
230.7658863,0,0.036243966,0,230.7658863,229.7625418,2.006688963,
232.7725753,0,0.036243966,0,232.7725753,231.7692308,2.006688963,
234.7792642,0,0.036243966,0,234.7792642,233.7759197,2.006688963,
236.7859532,0,0.036243966,0,236.7859532,235.7826087,2.006688963,
238.7926421,0,0.036243966,0,238.7926421,237.7892977,2.006688963,
240.7993311,0.005578794,0.036243966,0.011194904,240.7993311,239.7959866,2.006688963,
242.8060201,0,0.025049062,0,242.8060201,241.8026756,2.006688963,
244.812709,0,0.025049062,0,244.812709,243.8093645,2.006688963,
246.819398,0,0.025049062,0,246.819398,245.8160535,2.006688963,
248.826087,0,0.025049062,0,248.826087,247.8227425,2.006688963,
250.8327759,0,0.025049062,0,250.8327759,249.8294314,2.006688963,
252.8394649,0,0.025049062,0,252.8394649,251.8361204,2.006688963,
254.8461538,0.005399987,0.025049062,0.010836093,254.8461538,253.8428094,2.006688963,
256.8528428,0,0.014212968,0,256.8528428,255.8494983,2.006688963,
258.8595318,0,0.014212968,0,258.8595318,257.8561873,2.006688963,
260.8662207,0,0.014212968,0,260.8662207,259.8628763,2.006688963,
262.8729097,0,0.014212968,0,262.8729097,261.8695652,2.006688963,
264.8795987,0,0.014212968,0,264.8795987,263.8762542,2.006688963,
266.8862876,0,0.014212968,0,266.8862876,265.8829431,2.006688963,
268.8929766,0.000126319,0.014212968,0.000253483,268.8929766,267.8896321,2.006688963,
270.8996656,0,0.013959486,0,270.8996656,269.8963211,2.006688963,
272.9063545,0,0.013959486,0,272.9063545,271.90301,2.006688963,
274.9130435,0,0.013959486,0,274.9130435,273.909699,2.006688963,
276.9197324,0,0.013959486,0,276.9197324,275.916388,2.006688963,
278.9264214,0,0.013959486,0,278.9264214,277.9230769,2.006688963,
280.9331104,0,0.013959486,0,280.9331104,279.9297659,2.006688963,
282.9397993,0.006956477,0.013959486,0.013959486,282.9397993,281.9364548,2.006688963,
284.9464883,0,0,0,284.9464883,283.9431438,2.006688963,
286.9531773,0,0,0,286.9531773,285.9498328,2.006688963,
288.9598662,0,0,0,288.9598662,287.9565217,2.006688963,
290.9665552,0,0,0,290.9665552,289.9632107,2.006688963,
292.9732441,0,0,0,292.9732441,291.9698997,2.006688963,
294.9799331,0,0,0,294.9799331,293.9765886,2.006688963,
296.9866221,0,0,0,296.9866221,295.9832776,2.006688963,
298.993311,0,0,0,298.993311,297.9899666,2.006688963,
301,0,0,0,301,299.9966555,2.006688963,
303.006689,0,0,0,303.006689,302.0033445,2.006688963,
305.0133779,0,0,0,305.0133779,304.0100334,2.006688963,
307.0200669,0,0,0,307.0200669,306.0167224,2.006688963,
309.0267559,0,0,0,309.0267559,308.0234114,2.006688963,
311.0334448,0,0,0,311.0334448,310.0301003,2.006688963,
313.0401338,0,0,0,313.0401338,312.0367893,2.006688963,
315.0468227,0,0,0,315.0468227,314.0434783,2.006688963,
317.0535117,0,0,0,317.0535117,316.0501672,2.006688963,
319.0602007,0,0,0,319.0602007,318.0568562,2.006688963,
321.0668896,0,0,0,321.0668896,320.0635452,2.006688963,
323.0735786,0,0,0,323.0735786,322.0702341,2.006688963,
325.0802676,0,0,0,325.0802676,324.0769231,2.006688963,
327.0869565,0,0,0,327.0869565,326.083612,2.006688963,
329.0936455,0,0,0,329.0936455,328.090301,2.006688963,
331.1003344,0,0,0,331.1003344,330.09699,2.006688963,
333.1070234,0,0,0,333.1070234,332.1036789,2.006688963,
335.1137124,0,0,0,335.1137124,334.1103679,2.006688963,
337.1204013,0,0,0,337.1204013,336.1170569,2.006688963,
339.1270903,0,0,0,339.1270903,338.1237458,2.006688963,
341.1337793,0,0,0,341.1337793,340.1304348,2.006688963,
343.1404682,0,0,0,343.1404682,342.1371237,2.006688963,
345.1471572,0,0,0,345.1471572,344.1438127,2.006688963,
347.1538462,0,0,0,347.1538462,346.1505017,2.006688963,
349.1605351,0,0,0,349.1605351,348.1571906,2.006688963,
351.1672241,0,0,0,351.1672241,350.1638796,2.006688963,
353.173913,0,0,0,353.173913,352.1705686,2.006688963,
355.180602,0,0,0,355.180602,354.1772575,2.006688963,
357.187291,0,0,0,357.187291,356.1839465,2.006688963,
359.1939799,0,0,0,359.1939799,358.1906355,2.006688963,
361.2006689,0,0,0,361.2006689,360.1973244,2.006688963,
363.2073579,0,0,0,363.2073579,362.2040134,2.006688963,
365.2140468,0,0,0,365.2140468,364.2107023,2.006688963,
367.2207358,0,0,0,367.2207358,366.2173913,2.006688963,
369.2274247,0,0,0,369.2274247,368.2240803,2.006688963,
371.2341137,0,0,0,371.2341137,370.2307692,2.006688963,
373.2408027,0,0,0,373.2408027,372.2374582,2.006688963,
375.2474916,0,0,0,375.2474916,374.2441472,2.006688963,
377.2541806,0,0,0,377.2541806,376.2508361,2.006688963,
379.2608696,0,0,0,379.2608696,378.2575251,2.006688963,
381.2675585,0,0,0,381.2675585,380.264214,2.006688963,
383.2742475,0,0,0,383.2742475,382.270903,2.006688963,
385.2809365,0,0,0,385.2809365,384.277592,2.006688963,
387.2876254,0,0,0,387.2876254,386.2842809,2.006688963,
389.2943144,0,0,0,389.2943144,388.2909699,2.006688963,
391.3010033,0,0,0,391.3010033,390.2976589,2.006688963,
393.3076923,0,0,0,393.3076923,392.3043478,2.006688963,
395.3143813,0,0,0,395.3143813,394.3110368,2.006688963,
397.3210702,0,0,0,397.3210702,396.3177258,2.006688963,
399.3277592,0,0,0,399.3277592,398.3244147,2.006688963,
401.3344482,0,0,0,401.3344482,400.3311037,2.006688963,
403.3411371,0,0,0,403.3411371,402.3377926,2.006688963,
405.3478261,0,0,0,405.3478261,404.3444816,2.006688963,
407.3545151,0,0,0,407.3545151,406.3511706,2.006688963,
409.361204,0,0,0,409.361204,408.3578595,2.006688963,
411.367893,0,0,0,411.367893,410.3645485,2.006688963,
413.3745819,0,0,0,413.3745819,412.3712375,2.006688963,
415.3812709,0,0,0,415.3812709,414.3779264,2.006688963,
417.3879599,0,0,0,417.3879599,416.3846154,2.006688963,
419.3946488,0,0,0,419.3946488,418.3913043,2.006688963,
421.4013378,0,0,0,421.4013378,420.3979933,2.006688963,
423.4080268,0,0,0,423.4080268,422.4046823,2.006688963,
425.4147157,0,0,0,425.4147157,424.4113712,2.006688963,
427.4214047,0,0,0,427.4214047,426.4180602,2.006688963,
429.4280936,0,0,0,429.4280936,428.4247492,2.006688963,
431.4347826,0,0,0,431.4347826,430.4314381,2.006688963,
433.4414716,0,0,0,433.4414716,432.4381271,2.006688963,
435.4481605,0,0,0,435.4481605,434.4448161,2.006688963,
437.4548495,0,0,0,437.4548495,436.451505,2.006688963,
439.4615385,0,0,0,439.4615385,438.458194,2.006688963,
441.4682274,0,0,0,441.4682274,440.4648829,2.006688963,
443.4749164,0,0,0,443.4749164,442.4715719,2.006688963,
445.4816054,0,0,0,445.4816054,444.4782609,2.006688963,
